,screen_x,right_iris_y,Cluster
0,420,243.6756591796875,0
1,520,242.52574157714844,1
2,620,242.9994659423828,2
3,720,242.88409423828125,3
4,820,243.8262939453125,4
5,920,244.4114990234375,5
6,1020,245.94400024414065,6
7,1120,245.0969696044922,7
8,1220,244.9880523681641,8
9,1320,244.50726318359372,9
10,1420,243.71612548828125,10
11,1520,244.5425262451172,11
12,1620,243.995849609375,12
13,1720,243.77491760253903,13
14,1820,244.2878875732422,14
15,1920,243.71829223632807,15
16,1900,243.88961791992188,16
17,1800,244.1165008544922,17
18,1700,244.68116760253903,18
19,1600,244.23550415039065,19
20,1500,244.80848693847656,20
21,1400,244.50547790527344,21
22,1300,243.70127868652344,22
23,1200,243.8648376464844,23
24,1100,244.0737152099609,24
25,1000,244.01077270507807,25
26,900,243.81759643554688,26
27,800,244.1376190185547,27
28,700,243.8858337402344,28
29,600,243.6802215576172,29
30,500,243.7144012451172,30
31,400,243.23861694335935,31
32,300,244.3197326660156,32
33,200,244.13604736328125,33
34,100,244.38723754882807,34
35,0,244.8167266845703,35
36,20,245.29144287109372,36
37,120,245.47512817382807,37
38,220,246.37332153320312,38
39,320,247.4286651611328,39
40,420,247.267822265625,0
41,520,246.2525787353516,1
42,620,246.26124572753903,2
43,720,246.62078857421875,3
44,820,246.32765197753903,4
45,920,245.5774383544922,5
46,1020,245.2097625732422,6
47,1120,245.31710815429688,7
48,1220,244.83482360839844,8
49,1320,246.53993225097656,9
50,1420,248.44403076171875,10
51,1520,247.3284149169922,11
52,1620,246.39877319335935,12
53,1720,246.6956024169922,13
54,1820,246.5362548828125,14
55,1920,246.6126708984375,15
56,1900,247.52294921875,16
57,1800,247.57032775878903,17
58,1700,247.1043701171875,18
59,1600,247.03228759765625,19
60,1500,246.8974609375,20
61,1400,246.94461059570312,21
62,1300,246.67645263671875,22
63,1200,247.0118408203125,23
64,1100,246.40005493164065,24
65,1000,245.9633026123047,25
66,900,246.2359161376953,26
67,800,247.01841735839844,27
68,700,246.2452087402344,28
69,600,246.13986206054688,29
70,500,247.06222534179688,30
71,400,248.10379028320312,31
72,300,247.9071044921875,32
73,200,250.6181640625,33
74,100,250.79754638671875,34
75,0,250.95745849609372,35
76,20,255.61546325683597,36
77,120,257.6585388183594,37
78,220,256.74249267578125,38
79,320,258.2909240722656,39
80,420,248.2049865722656,0
83,720,234.70835876464844,3
84,820,236.32516479492188,4
85,920,241.3519744873047,5
86,1020,240.7587890625,6
87,1120,245.7991485595703,7
88,1220,249.2885589599609,8
89,1320,250.3720703125,9
90,1420,243.69168090820312,10
91,1520,242.10037231445312,11
92,1620,243.97268676757807,12
93,1720,244.08328247070312,13
94,1820,245.3052215576172,14
95,1920,245.73651123046875,15
96,1900,246.4352264404297,16
97,1800,246.65057373046875,17
98,1700,246.72412109375,18
99,1600,246.9327087402344,19
100,1500,246.2825927734375,20
101,1400,246.14797973632807,21
102,1300,240.93585205078125,22
103,1200,242.43728637695312,23
104,1100,242.00765991210935,24
105,1000,241.83038330078125,25
106,900,244.4667510986328,26
107,800,242.5886688232422,27
108,700,247.23284912109372,28
109,600,249.80381774902344,29
110,500,250.3027801513672,30
111,400,247.7738342285156,31
112,300,247.5417022705078,32
113,200,248.66259765625,33
114,100,248.41238403320312,34
115,0,248.5725250244141,35
116,20,250.29464721679688,36
117,120,250.0631561279297,37
118,220,249.2835693359375,38
119,320,248.6039123535156,39
120,420,248.47337341308597,0
121,520,248.30581665039065,1
122,620,248.90283203125,2
123,720,249.39181518554688,3
124,820,249.7982940673828,4
125,920,249.75875854492188,5
126,1020,249.13185119628903,6
127,1120,248.89663696289065,7
128,1220,249.1757659912109,8
129,1320,249.2108612060547,9
130,1420,250.04991149902344,10
131,1520,249.47750854492188,11
132,1620,249.1193389892578,12
133,1720,249.3509521484375,13
134,1820,249.9076690673828,14
135,1920,249.23167419433597,15
136,1900,249.4301300048828,16
137,1800,250.13616943359372,17
138,1700,249.6038360595703,18
139,1600,249.71438598632807,19
140,1500,250.9133758544922,20
141,1400,250.52706909179688,21
142,1300,250.24073791503903,22
143,1200,250.760986328125,23
144,1100,250.25624084472656,24
145,1000,249.8977508544922,25
146,900,250.06553649902344,26
147,800,249.51417541503903,27
148,700,249.55210876464844,28
149,600,248.98362731933597,29
150,500,249.4673767089844,30
151,400,249.10543823242188,31
152,300,249.0207977294922,32
153,200,249.41775512695312,33
154,100,248.8712158203125,34
155,0,248.94029235839844,35
156,20,249.6480712890625,36
157,120,249.8184814453125,37
158,220,249.4232482910156,38
159,320,249.5642852783203,39
160,420,247.9935302734375,0
161,520,245.8523712158203,1
162,620,245.7636260986328,2
163,720,245.53836059570312,3
164,820,246.0818023681641,4
165,920,246.12594604492188,5
166,1020,245.0069732666016,6
167,1120,245.7371826171875,7
168,1220,245.54049682617188,8
169,1320,245.18246459960935,9
170,1420,245.17286682128903,10
171,1520,245.66542053222656,11
172,1620,244.7180633544922,12
173,1720,245.5977935791016,13
174,1820,245.01661682128903,14
175,1920,246.12229919433597,15
176,1900,246.23863220214844,16
177,1800,246.26177978515625,17
178,1700,246.25881958007807,18
179,1600,245.76760864257807,19
180,1500,243.7947235107422,20
181,1400,244.5395050048828,21
182,1300,244.10427856445312,22
183,1200,244.00247192382807,23
184,1100,243.5891876220703,24
185,1000,244.32330322265625,25
186,900,244.5563507080078,26
187,800,244.79721069335935,27
188,700,245.0463409423828,28
189,600,244.944091796875,29
190,500,244.94761657714844,30
191,400,245.0943298339844,31
192,300,244.8842315673828,32
193,200,245.3980255126953,33
194,100,245.26231384277344,34
195,0,245.44793701171875,35
